F/L/Sex,ID,TrialType,Trial#,RunPosition#,Run#,ConditionType,Condition,RT,Error,TotalError,RepeatedError,Target,Globality,RunType,StimuliType
SBF,1,Experiment,1239,7,177,Critical,Global Congruent at 2,7,0,48,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,396,4,57,Critical,Global Incongruent,7,0,46,0,U,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,719,5,103,Critical,Local Congruent at 2,7,0,61,0,K,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,200,4,29,Critical,Local Congruent at 2,7,0,63,0,E,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,307,6,44,Critical,Global Congruent at 6,7,0,78,0,A,Global,Congruent at 6,Congruent Stimuli with Target
ADF,3,Experiment,395,3,57,Control,Global Multiple Absent,7,1,91,1,K,Global,3 Absent,Random Stimuli
ADF,3,Experiment,649,5,93,Critical,Local Incongruent,7,0,114,0,A,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,671,6,96,Critical,Local Incongruent,7,0,116,0,K,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,735,7,105,Control,Local Multiple Incongruent,7,0,127,0,U,Local,Multiple Congruent until P6,Congruent Stimuli with Target
ADF,3,Experiment,895,6,128,Critical,Local Congruent at 6,7,0,166,0,E,Local,Congruent at 6,Congruent Stimuli with Target
ADF,3,Experiment,919,2,132,Control,Global Multiple Incongruent,7,0,174,0,K,Global,Multiple Congruent until P2,Congruent Stimuli with Target
ADF,3,Experiment,952,7,136,Critical,Global Congruent at 6,7,0,182,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,1015,7,145,Critical,Global Incongruent,7,0,194,0,K,Global,Incongruent,Incongruent Stimuli with Target
HBF,5,Experiment,559,6,80,Critical,Global Congruent at 6,7,0,16,0,K,Global,Congruent at 6,Congruent Stimuli with Target
HBF,5,Experiment,842,2,121,Critical,Local Congruent at 2,7,0,21,0,K,Local,Congruent at 2,Congruent Stimuli with Target
HBF,5,Experiment,1008,7,144,Critical,Local Congruent at 2,7,0,31,0,E,Local,Congruent at 2,Incongruent Stimuli with Target
KLF,7,Experiment,520,2,75,Critical,Global Incongruent,7,0,33,0,A,Global,Incongruent,Incongruent Stimuli with Target
LDF,8,Experiment,504,7,72,Critical,Local Congruent at 6,7,0,27,0,G,Local,Congruent at 6,Incongruent Stimuli with Target
LDF,8,Experiment,662,4,95,Critical,Global Congruent at 2,7,0,28,0,E,Global,Congruent at 2,Incongruent Stimuli with Target
LDF,8,Experiment,1125,5,161,Critical,Global Congruent at 2,7,0,56,0,G,Global,Congruent at 2,Incongruent Stimuli with Target
LDF,8,Experiment,1151,3,165,Critical,Local Congruent at 6,7,0,56,0,E,Local,Congruent at 6,Incongruent Stimuli with Target
LDF,8,Experiment,1195,5,171,Critical,Global Congruent at 6,7,0,56,0,G,Global,Congruent at 6,Incongruent Stimuli with Target
LDF,8,Experiment,1211,7,173,Critical,Global Congruent at 6,7,0,56,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
FCM,9,Experiment,1146,5,164,Critical,Global Congruent at 2,7,0,54,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
VSF,12,Experiment,798,7,114,Control,Global Multiple Incongruent,7,0,77,0,E,Global,Multiple Congruent until P6,Incongruent Stimuli with Target
VSF,12,Experiment,1041,5,149,Critical,Global Incongruent,7,0,121,0,G,Global,Incongruent,Incongruent Stimuli with Target
VSF,12,Experiment,1141,7,163,Critical,Global Congruent at 2,7,0,122,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
VSF,12,Experiment,1227,2,176,Critical,Global Congruent at 6,7,0,122,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
VSF,12,Experiment,1257,4,180,Critical,Global Congruent at 6,7,0,122,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
MLF,13,Experiment,497,7,71,Critical,Global Congruent at 6,7,0,42,0,G,Global,Congruent at 6,Incongruent Stimuli with Target
SEF,14,Experiment,627,4,90,Critical,Global Congruent at 2,7,0,50,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
SEF,14,Experiment,1146,5,164,Critical,Global Congruent at 6,7,0,89,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
DMF,17,Experiment,1041,5,149,Critical,Global Incongruent,7,0,81,0,K,Global,Incongruent,Incongruent Stimuli with Target
DFF,19,Experiment,1189,6,170,Critical,Global Congruent at 2,7,0,59,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
SMFWP,21,Experiment,627,4,90,Critical,Global Congruent at 2,7,0,84,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
SMFWP,21,Experiment,1193,3,171,Critical,Global Incongruent,7,0,140,0,A,Global,Incongruent,Incongruent Stimuli with Target
SMFWP,21,Experiment,1207,3,173,Critical,Global Congruent at 2,7,0,140,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
RFM,23,Experiment,385,7,55,Critical,Local Incongruent,7,0,38,0,K,Local,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,650,6,93,Critical,Local Congruent at 6,8,0,57,0,K,Local,Congruent at 6,Congruent Stimuli with Target
FTM,2,Experiment,794,3,114,Control,Global Multiple Incongruent,8,1,67,1,G,Global,Multiple Congruent until P2,Incongruent Stimuli without Target
ADF,3,Experiment,196,7,28,Critical,Global Congruent at 2,8,0,63,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,226,2,33,Critical,Global Congruent at 6,8,0,63,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,348,5,50,Control,Local All Random,8,0,86,0,K,Local,All Random,Congruent Stimuli with Target
ADF,3,Experiment,392,7,56,Critical,Global Incongruent,8,0,90,0,G,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,589,1,85,Critical,Global Incongruent,8,0,114,0,K,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,601,6,86,Critical,Global Incongruent,8,0,114,0,E,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,879,4,126,Control,Global Multiple Incongruent,8,1,164,1,G,Global,Multiple Congruent until P2,Incongruent Stimuli without Target
ADF,3,Experiment,1120,7,160,Critical,Local Incongruent,8,0,206,0,G,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,1145,4,164,Critical,Global Congruent at 2,8,0,206,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,1175,6,168,Critical,Global Congruent at 6,8,0,207,0,E,Global,Congruent at 6,Congruent Stimuli with Target
ADF,3,Experiment,1207,3,173,Critical,Global Congruent at 2,8,0,208,0,E,Global,Congruent at 2,Incongruent Stimuli with Target
HBF,5,Experiment,581,7,83,Critical,Global Congruent at 6,8,0,16,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
HBF,5,Experiment,1244,5,178,Critical,Local Congruent at 6,8,0,40,0,K,Local,Congruent at 6,Incongruent Stimuli with Target
LDF,8,Experiment,970,4,139,Critical,Global Congruent at 2,8,0,52,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
LDF,8,Experiment,1161,6,166,Critical,Local Congruent at 2,8,0,56,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
JMF,10,Experiment,1155,7,165,Critical,Global Congruent at 6,8,0,64,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
JMJF,11,Experiment,1087,2,156,Critical,Global Congruent at 2,8,0,39,0,G,Global,Congruent at 2,Congruent Stimuli with Target
VSF,12,Experiment,795,4,114,Control,Global Multiple Incongruent,8,0,77,0,E,Global,Multiple Congruent until P6,Congruent Stimuli with Target
VSF,12,Experiment,843,3,121,Control,Global Multiple Incongruent,8,0,83,0,G,Global,Multiple Congruent until P6,Congruent Stimuli with Target
VSF,12,Experiment,1056,6,151,Critical,Local Congruent at 2,8,0,121,0,E,Local,Congruent at 2,Incongruent Stimuli with Target
VSF,12,Experiment,1151,3,165,Critical,Local Congruent at 6,8,0,122,0,E,Local,Congruent at 6,Incongruent Stimuli with Target
SEF,14,Experiment,594,6,85,Critical,Global Incongruent,8,0,49,0,A,Global,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,975,2,140,Critical,Local Incongruent,8,0,79,0,G,Local,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,1258,5,180,Critical,Global Incongruent,8,0,89,0,G,Global,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,1260,7,180,Critical,Global Incongruent,8,0,89,0,G,Global,Incongruent,Incongruent Stimuli with Target
LOF,16,Experiment,1210,6,173,Critical,Global Incongruent,8,0,73,0,U,Global,Incongruent,Incongruent Stimuli with Target
SMFWP,21,Experiment,1138,4,163,Critical,Global Congruent at 2,8,0,140,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
ALF,22,Experiment,625,2,90,Critical,Global Congruent at 2,8,0,29,0,K,Global,Congruent at 2,Congruent Stimuli with Target
RFM,23,Experiment,686,7,98,Critical,Local Incongruent,8,0,44,0,K,Local,Incongruent,Incongruent Stimuli with Target
RFM,23,Experiment,1244,5,178,Critical,Global Congruent at 2,8,0,66,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
SBF,1,Experiment,993,6,142,Critical,Global Incongruent,9,0,43,0,E,Global,Incongruent,Incongruent Stimuli with Target
SBF,1,Experiment,1110,4,159,Critical,Local Congruent at 2,9,0,48,0,K,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,170,2,25,Control,Global Multiple Incongruent,9,0,63,0,E,Global,Multiple Congruent until P6,Congruent Stimuli with Target
ADF,3,Experiment,204,1,30,Critical,Local Incongruent,9,0,63,0,U,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,403,4,58,Critical,Local Congruent at 6,9,0,93,0,E,Local,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,598,3,86,Critical,Global Incongruent,9,0,114,0,E,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,654,3,94,Critical,Global Incongruent,9,0,114,0,G,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,822,3,118,Critical,Global Congruent at 6,9,0,147,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,967,1,139,Critical,Local Congruent at 2,9,0,182,0,K,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,1097,5,157,Critical,Global Incongruent,9,0,206,0,A,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,1103,4,158,Critical,Global Congruent at 6,9,0,206,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,1191,1,171,Critical,Local Congruent at 6,9,0,207,0,A,Local,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,1244,5,178,Critical,Local Congruent at 2,9,0,208,0,K,Local,Congruent at 2,Incongruent Stimuli with Target
HBF,5,Experiment,630,7,90,Critical,Global Incongruent,9,0,16,0,K,Global,Incongruent,Incongruent Stimuli with Target
HBF,5,Experiment,1021,6,146,Control,Global Multiple Incongruent,9,0,31,0,U,Global,Multiple Congruent until P6,Congruent Stimuli with Target
KLF,7,Experiment,523,5,75,Critical,Global Incongruent,9,0,33,0,A,Global,Incongruent,Incongruent Stimuli with Target
KLF,7,Experiment,534,2,77,Critical,Local Congruent at 6,9,0,33,0,E,Local,Congruent at 6,Incongruent Stimuli with Target
LDF,8,Experiment,963,4,138,Critical,Local Incongruent,9,0,52,0,U,Local,Incongruent,Incongruent Stimuli with Target
LDF,8,Experiment,1176,7,168,Critical,Global Congruent at 2,9,0,56,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
FCM,9,Experiment,1035,6,148,Critical,Local Congruent at 2,9,0,50,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
VSF,12,Experiment,880,5,126,Control,Local Multiple Incongruent,9,0,90,0,K,Local,Multiple Congruent until P2,Congruent Stimuli with Target
VSF,12,Experiment,1022,7,146,Critical,Global Congruent at 2,9,0,115,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
SEF,14,Experiment,1139,5,163,Critical,Global Congruent at 2,9,0,89,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
SEF,14,Experiment,1234,2,177,Critical,Local Congruent at 2,9,0,89,0,G,Local,Congruent at 2,Congruent Stimuli with Target
ALF,22,Experiment,539,7,77,Critical,Local Congruent at 2,9,0,29,0,K,Local,Congruent at 2,Incongruent Stimuli with Target
