ID,Condition,ConditionType,RT_Mu,RT_Sigma
1,Global All Random,Control,542.0357142857143,261.4491333157022
1,Global Congruent at 2,Critical,304.4642857142857,134.86126154827633
1,Global Congruent at 6,Critical,292.2857142857143,156.50394923255263
1,Global Incongruent,Critical,290.6666666666667,122.81327475733642
1,Global Multiple Absent,Control,456.46753246753246,167.8563440012404
1,Global Multiple Incongruent,Control,415.3095238095238,127.48975637475115
1,Local All Random,Control,546,195.27676383214063
1,Local Congruent at 2,Critical,334.98571428571427,132.43089609488158
1,Local Congruent at 6,Critical,342.961038961039,128.11059780323305
1,Local Incongruent,Critical,346.35,167.58564545076968
1,Local Multiple Absent,Control,591.7142857142857,304.9869219432056
1,Local Multiple Incongruent,Control,473.3636363636364,311.13780620451894
2,Global All Random,Control,475.5844155844156,376.7007869806287
2,Global Congruent at 2,Critical,229.89795918367346,250.8075924298626
2,Global Congruent at 6,Critical,244.58503401360545,321.642953657466
2,Global Incongruent,Critical,248.8116883116883,276.1840527141304
2,Global Multiple Absent,Control,444.46753246753246,183.06466965008383
2,Global Multiple Incongruent,Control,283.93506493506493,249.27913637771496
2,Local All Random,Control,558.1948051948052,327.26140521161363
2,Local Congruent at 2,Critical,296.5442176870748,268.84596677897576
2,Local Congruent at 6,Critical,273.7687074829932,237.90414980307392
2,Local Incongruent,Critical,317.75714285714287,288.5546186326326
2,Local Multiple Absent,Control,587.1857142857143,313.3100188453965
2,Local Multiple Incongruent,Control,407.5857142857143,297.66913316035794
3,Global All Random,Control,408.07142857142856,427.51795695580876
3,Global Congruent at 2,Critical,211.5064935064935,294.34245420889533
3,Global Congruent at 6,Critical,158.2357142857143,134.5181440899858
3,Global Incongruent,Critical,182.7074829931973,226.50402067508082
3,Global Multiple Absent,Control,342.8831168831169,330.1512402244404
3,Global Multiple Incongruent,Control,163.7,132.96641724864978
3,Local All Random,Control,384.14285714285717,409.7806684232739
3,Local Congruent at 2,Critical,171.22857142857143,147.5616365722221
3,Local Congruent at 6,Critical,322.3673469387755,436.11045606059344
3,Local Incongruent,Critical,193.45578231292518,196.312800135798
3,Local Multiple Absent,Control,400.5064935064935,474.8839088987579
3,Local Multiple Incongruent,Control,282.76623376623377,334.17057163984765
4,Global All Random,Control,706.1168831168832,304.31134394451203
4,Global Congruent at 2,Critical,464.0408163265306,246.05503553960756
4,Global Congruent at 6,Critical,462.76190476190476,263.5477740823175
4,Global Incongruent,Critical,426.3642857142857,189.14651968661244
4,Global Multiple Absent,Control,694.0142857142857,229.83254728815209
4,Global Multiple Incongruent,Control,513.961038961039,229.35466912957742
4,Local All Random,Control,713.8961038961039,191.54919557838375
4,Local Congruent at 2,Critical,504.7922077922078,196.47966101809777
4,Local Congruent at 6,Critical,535.6598639455782,300.69013077905726
4,Local Incongruent,Critical,452.97402597402595,129.99723215011977
4,Local Multiple Absent,Control,869.4285714285714,381.6417840668861
4,Local Multiple Incongruent,Control,558.0571428571428,243.9068416670764
5,Global All Random,Control,569.6857142857143,193.23624820164466
5,Global Congruent at 2,Critical,371.42857142857144,227.620823883867
5,Global Congruent at 6,Critical,348.8142857142857,146.7534802555361
5,Global Incongruent,Critical,397.6258503401361,298.6164720998738
5,Global Multiple Absent,Control,621.7142857142857,210.7926847355901
5,Global Multiple Incongruent,Control,517.6363636363636,205.95700299174027
5,Local All Random,Control,745.2417582417582,371.1983998007696
5,Local Congruent at 2,Critical,437.7214285714286,201.61121028616543
5,Local Congruent at 6,Critical,384.14285714285717,163.1169228625654
5,Local Incongruent,Critical,423.1038961038961,239.54453428598572
5,Local Multiple Absent,Control,659.0649350649351,280.12179389002705
5,Local Multiple Incongruent,Control,542.8571428571429,211.14898138410356
6,Global All Random,Control,693.9,328.4254112041845
6,Global Congruent at 2,Critical,559.7922077922078,252.4471257737621
6,Global Congruent at 6,Critical,527.1214285714286,250.71484756454177
6,Global Incongruent,Critical,498.03401360544217,153.35697522072195
6,Global Multiple Absent,Control,746.8701298701299,351.4300990108451
6,Global Multiple Incongruent,Control,641.1309523809524,459.4245950626497
6,Local All Random,Control,782.0649350649351,368.2846917114651
6,Local Congruent at 2,Critical,507.7214285714286,147.29415915672118
6,Local Congruent at 6,Critical,537.6190476190476,192.80415691155216
6,Local Incongruent,Critical,536.7285714285714,205.27002195063352
6,Local Multiple Absent,Control,713.2987012987013,240.9612911114162
6,Local Multiple Incongruent,Control,603.2077922077922,349.96267987730295
7,Global All Random,Control,622.1547619047619,247.2032232627821
7,Global Congruent at 2,Critical,378.42857142857144,190.36540205974893
7,Global Congruent at 6,Critical,405.8357142857143,197.73482026939044
7,Global Incongruent,Critical,368.92857142857144,156.3087077786804
7,Global Multiple Absent,Control,647.5714285714286,432.072192693823
7,Global Multiple Incongruent,Control,470.54285714285714,206.17634816448532
7,Local All Random,Control,606.1168831168832,248.92183163363038
7,Local Congruent at 2,Critical,437.87857142857143,204.54643517262625
7,Local Congruent at 6,Critical,445.00680272108843,174.40212926777025
7,Local Incongruent,Critical,437.15646258503403,191.72853599860431
