ID,Condition,RunPosition,RT,Globality,RunType,StimuliType
1,Global Congruent,7,7,Global,Congruent,Congruent Stimuli with Target
1,Global Congruent,7,7,Global,Congruent,Congruent Stimuli with Target
1,Global Incongruent at 2,6,7,Global,Incongruent at 2,Congruent Stimuli with Target
2,Local Incongruent at 6,6,7,Local,Incongruent at 6,Incongruent Stimuli with Target
3,Local Congruent,4,7,Local,Congruent,Congruent Stimuli with Target
3,Global Congruent,7,7,Global,Congruent,Congruent Stimuli with Target
3,Global Incongruent at 2,7,7,Global,Incongruent at 2,Congruent Stimuli with Target
4,Global Incongruent at 2,5,7,Global,Incongruent at 2,Congruent Stimuli with Target
4,Local Congruent,4,7,Local,Congruent,Congruent Stimuli with Target
7,Global Congruent,4,7,Global,Congruent,Congruent Stimuli with Target
8,Global Congruent,7,7,Global,Congruent,Congruent Stimuli with Target
9,Local Incongruent at 6,7,7,Local,Incongruent at 6,Congruent Stimuli with Target
9,Local Incongruent at 2,7,7,Local,Incongruent at 2,Congruent Stimuli with Target
9,Global Congruent,6,7,Global,Congruent,Congruent Stimuli with Target
9,Local Incongruent at 2,6,7,Local,Incongruent at 2,Congruent Stimuli with Target
9,Local Congruent,5,7,Local,Congruent,Congruent Stimuli with Target
9,Global Incongruent at 6,6,7,Global,Incongruent at 6,Incongruent Stimuli with Target
9,Global Congruent,2,7,Global,Congruent,Congruent Stimuli with Target
18,Global Congruent,7,7,Global,Congruent,Congruent Stimuli with Target
19,Global Incongruent at 6,6,7,Global,Incongruent at 6,Incongruent Stimuli with Target
19,Local Congruent,7,7,Local,Congruent,Congruent Stimuli with Target
19,Local Incongruent at 6,5,7,Local,Incongruent at 6,Congruent Stimuli with Target
20,Global Incongruent at 2,6,7,Global,Incongruent at 2,Congruent Stimuli with Target
20,Local Incongruent at 6,5,7,Local,Incongruent at 6,Congruent Stimuli with Target
20,Global Congruent,6,7,Global,Congruent,Congruent Stimuli with Target
21,Global Congruent,5,7,Global,Congruent,Congruent Stimuli with Target
21,Global Incongruent at 6,7,7,Global,Incongruent at 6,Congruent Stimuli with Target
21,Global Incongruent at 2,5,7,Global,Incongruent at 2,Congruent Stimuli with Target
21,Global Incongruent at 2,4,7,Global,Incongruent at 2,Congruent Stimuli with Target
21,Global Incongruent at 6,4,7,Global,Incongruent at 6,Congruent Stimuli with Target
21,Global Incongruent at 6,5,7,Global,Incongruent at 6,Congruent Stimuli with Target
21,Global Incongruent at 6,7,7,Global,Incongruent at 6,Congruent Stimuli with Target
21,Global Congruent,3,7,Global,Congruent,Congruent Stimuli with Target
21,Global Congruent,5,7,Global,Congruent,Congruent Stimuli with Target
21,Global Congruent,6,7,Global,Congruent,Congruent Stimuli with Target
21,Global Congruent,2,7,Global,Congruent,Congruent Stimuli with Target
21,Local Congruent,7,7,Local,Congruent,Congruent Stimuli with Target
21,Local Incongruent at 6,7,7,Local,Incongruent at 6,Congruent Stimuli with Target
22,Local Incongruent at 6,1,7,Local,Incongruent at 6,Congruent Stimuli with Target
22,Local Incongruent at 2,1,7,Local,Incongruent at 2,Congruent Stimuli with Target
22,Local Incongruent at 6,4,7,Local,Incongruent at 6,Congruent Stimuli with Target
22,Global Congruent,7,7,Global,Congruent,Congruent Stimuli with Target
23,Global Incongruent at 2,6,7,Global,Incongruent at 2,Congruent Stimuli with Target
23,Local Incongruent at 2,5,7,Local,Incongruent at 2,Congruent Stimuli with Target
23,Global Congruent,5,7,Global,Congruent,Congruent Stimuli with Target
23,Global Congruent,2,7,Global,Congruent,Congruent Stimuli with Target
23,Global Incongruent at 6,3,7,Global,Incongruent at 6,Congruent Stimuli with Target
24,Global Congruent,3,7,Global,Congruent,Congruent Stimuli with Target
24,Local Incongruent at 6,3,7,Local,Incongruent at 6,Congruent Stimuli with Target
24,Global Incongruent at 2,6,7,Global,Incongruent at 2,Congruent Stimuli with Target
24,Global Congruent,5,7,Global,Congruent,Congruent Stimuli with Target
24,Local Congruent,7,7,Local,Congruent,Congruent Stimuli with Target
24,Local Incongruent at 6,6,7,Local,Incongruent at 6,Incongruent Stimuli with Target
24,Global Incongruent at 6,7,7,Global,Incongruent at 6,Congruent Stimuli with Target
24,Global Incongruent at 2,4,7,Global,Incongruent at 2,Congruent Stimuli with Target
28,Global Congruent,6,7,Global,Congruent,Congruent Stimuli with Target
28,Global Incongruent at 2,6,7,Global,Incongruent at 2,Congruent Stimuli with Target
28,Global Incongruent at 6,7,7,Global,Incongruent at 6,Congruent Stimuli with Target
28,Local Incongruent at 6,4,7,Local,Incongruent at 6,Congruent Stimuli with Target
28,Global Incongruent at 2,5,7,Global,Incongruent at 2,Congruent Stimuli with Target
28,Global Incongruent at 6,4,7,Global,Incongruent at 6,Congruent Stimuli with Target
28,Local Incongruent at 2,5,7,Local,Incongruent at 2,Congruent Stimuli with Target
28,Local Incongruent at 6,2,7,Local,Incongruent at 6,Congruent Stimuli with Target
28,Global Incongruent at 6,6,7,Global,Incongruent at 6,Incongruent Stimuli with Target
28,Global Incongruent at 2,6,7,Global,Incongruent at 2,Congruent Stimuli with Target
28,Global Congruent,3,7,Global,Congruent,Congruent Stimuli with Target
28,Global Congruent,7,7,Global,Congruent,Congruent Stimuli with Target
32,Global Incongruent at 2,2,7,Global,Incongruent at 2,Incongruent Stimuli with Target
32,Global Congruent,6,7,Global,Congruent,Congruent Stimuli with Target
32,Global Incongruent at 2,2,7,Global,Incongruent at 2,Incongruent Stimuli with Target
32,Local Incongruent at 6,2,7,Local,Incongruent at 6,Congruent Stimuli with Target
34,Local Incongruent at 6,5,7,Local,Incongruent at 6,Congruent Stimuli with Target
34,Local Congruent,3,7,Local,Congruent,Congruent Stimuli with Target
35,Global Congruent,4,7,Global,Congruent,Congruent Stimuli with Target
37,Global Incongruent at 6,2,7,Global,Incongruent at 6,Congruent Stimuli with Target
37,Local Incongruent at 6,6,7,Local,Incongruent at 6,Incongruent Stimuli with Target
2,Local Congruent,6,8,Local,Congruent,Congruent Stimuli with Target
3,Local Congruent,6,8,Local,Congruent,Congruent Stimuli with Target
9,Global Congruent,5,8,Global,Congruent,Congruent Stimuli with Target
9,Local Incongruent at 6,4,8,Local,Incongruent at 6,Congruent Stimuli with Target
9,Local Incongruent at 2,5,8,Local,Incongruent at 2,Congruent Stimuli with Target
9,Local Incongruent at 6,7,8,Local,Incongruent at 6,Congruent Stimuli with Target
13,Local Congruent,6,8,Local,Congruent,Congruent Stimuli with Target
15,Local Incongruent at 6,6,8,Local,Incongruent at 6,Incongruent Stimuli with Target
17,Global Incongruent at 6,3,8,Global,Incongruent at 6,Congruent Stimuli with Target
19,Local Congruent,5,8,Local,Congruent,Congruent Stimuli with Target
19,Global Incongruent at 2,7,8,Global,Incongruent at 2,Congruent Stimuli with Target
19,Global Incongruent at 6,6,8,Global,Incongruent at 6,Incongruent Stimuli with Target
19,Global Congruent,7,8,Global,Congruent,Congruent Stimuli with Target
20,Local Incongruent at 2,7,8,Local,Incongruent at 2,Congruent Stimuli with Target
21,Global Incongruent at 2,6,8,Global,Incongruent at 2,Congruent Stimuli with Target
21,Global Incongruent at 2,7,8,Global,Incongruent at 2,Congruent Stimuli with Target
21,Local Incongruent at 2,4,8,Local,Incongruent at 2,Congruent Stimuli with Target
22,Global Incongruent at 6,4,8,Global,Incongruent at 6,Congruent Stimuli with Target
22,Local Incongruent at 2,7,8,Local,Incongruent at 2,Congruent Stimuli with Target
23,Global Congruent,2,8,Global,Congruent,Congruent Stimuli with Target
23,Global Incongruent at 6,5,8,Global,Incongruent at 6,Congruent Stimuli with Target
23,Local Congruent,6,8,Local,Congruent,Congruent Stimuli with Target
23,Global Incongruent at 6,3,8,Global,Incongruent at 6,Congruent Stimuli with Target
24,Local Incongruent at 6,3,8,Local,Incongruent at 6,Congruent Stimuli with Target
24,Global Incongruent at 6,4,8,Global,Incongruent at 6,Congruent Stimuli with Target
28,Local Incongruent at 6,7,8,Local,Incongruent at 6,Congruent Stimuli with Target
28,Global Congruent,7,8,Global,Congruent,Congruent Stimuli with Target
28,Global Incongruent at 6,6,8,Global,Incongruent at 6,Incongruent Stimuli with Target
28,Global Congruent,4,8,Global,Congruent,Congruent Stimuli with Target
28,Global Incongruent at 2,7,8,Global,Incongruent at 2,Congruent Stimuli with Target
28,Local Incongruent at 6,5,8,Local,Incongruent at 6,Congruent Stimuli with Target
28,Global Incongruent at 6,5,8,Global,Incongruent at 6,Congruent Stimuli with Target
28,Local Incongruent at 2,3,8,Local,Incongruent at 2,Congruent Stimuli with Target
32,Local Incongruent at 6,3,8,Local,Incongruent at 6,Congruent Stimuli with Target
35,Global Incongruent at 6,4,8,Global,Incongruent at 6,Congruent Stimuli with Target
37,Global Incongruent at 6,5,8,Global,Incongruent at 6,Congruent Stimuli with Target
