ID,Condition,RunPosition,RT,Globality,RunType,StimuliType
2,Local Incongruent at 6,6,7,Local,Incongruent at 6,Incongruent Stimuli with Target
9,Global Congruent,6,7,Global,Congruent,Congruent Stimuli with Target
9,Global Incongruent at 6,6,7,Global,Incongruent at 6,Incongruent Stimuli with Target
9,Global Congruent,2,7,Global,Congruent,Congruent Stimuli with Target
19,Global Incongruent at 6,6,7,Global,Incongruent at 6,Incongruent Stimuli with Target
20,Global Congruent,6,7,Global,Congruent,Congruent Stimuli with Target
21,Global Congruent,6,7,Global,Congruent,Congruent Stimuli with Target
21,Global Congruent,2,7,Global,Congruent,Congruent Stimuli with Target
23,Global Congruent,2,7,Global,Congruent,Congruent Stimuli with Target
24,Local Incongruent at 6,6,7,Local,Incongruent at 6,Incongruent Stimuli with Target
28,Global Congruent,6,7,Global,Congruent,Congruent Stimuli with Target
28,Global Incongruent at 6,6,7,Global,Incongruent at 6,Incongruent Stimuli with Target
32,Global Incongruent at 2,2,7,Global,Incongruent at 2,Incongruent Stimuli with Target
32,Global Congruent,6,7,Global,Congruent,Congruent Stimuli with Target
32,Global Incongruent at 2,2,7,Global,Incongruent at 2,Incongruent Stimuli with Target
37,Local Incongruent at 6,6,7,Local,Incongruent at 6,Incongruent Stimuli with Target
2,Local Congruent,6,8,Local,Congruent,Congruent Stimuli with Target
3,Local Congruent,6,8,Local,Congruent,Congruent Stimuli with Target
13,Local Congruent,6,8,Local,Congruent,Congruent Stimuli with Target
15,Local Incongruent at 6,6,8,Local,Incongruent at 6,Incongruent Stimuli with Target
19,Global Incongruent at 6,6,8,Global,Incongruent at 6,Incongruent Stimuli with Target
23,Global Congruent,2,8,Global,Congruent,Congruent Stimuli with Target
23,Local Congruent,6,8,Local,Congruent,Congruent Stimuli with Target
28,Global Incongruent at 6,6,8,Global,Incongruent at 6,Incongruent Stimuli with Target
1,Global Incongruent at 6,6,9,Global,Incongruent at 6,Incongruent Stimuli with Target
3,Local Congruent,6,9,Local,Congruent,Congruent Stimuli with Target
3,Global Congruent,6,9,Global,Congruent,Congruent Stimuli with Target
3,Local Incongruent at 6,6,9,Local,Incongruent at 6,Incongruent Stimuli with Target
17,Global Incongruent at 6,6,9,Global,Incongruent at 6,Incongruent Stimuli with Target
19,Local Incongruent at 6,6,9,Local,Incongruent at 6,Incongruent Stimuli with Target
19,Local Incongruent at 6,6,9,Local,Incongruent at 6,Incongruent Stimuli with Target
24,Global Incongruent at 6,6,9,Global,Incongruent at 6,Incongruent Stimuli with Target
28,Global Congruent,6,9,Global,Congruent,Congruent Stimuli with Target
28,Local Congruent,2,9,Local,Congruent,Congruent Stimuli with Target
32,Local Incongruent at 6,6,9,Local,Incongruent at 6,Incongruent Stimuli with Target
3,Global Congruent,2,10,Global,Congruent,Congruent Stimuli with Target
7,Global Incongruent at 6,6,10,Global,Incongruent at 6,Incongruent Stimuli with Target
23,Global Congruent,2,10,Global,Congruent,Congruent Stimuli with Target
23,Global Congruent,2,10,Global,Congruent,Congruent Stimuli with Target
28,Local Congruent,2,10,Local,Congruent,Congruent Stimuli with Target
28,Global Congruent,2,10,Global,Congruent,Congruent Stimuli with Target
32,Global Congruent,6,10,Global,Congruent,Congruent Stimuli with Target
34,Global Congruent,6,10,Global,Congruent,Congruent Stimuli with Target
9,Local Incongruent at 6,6,11,Local,Incongruent at 6,Incongruent Stimuli with Target
9,Global Incongruent at 2,2,11,Global,Incongruent at 2,Incongruent Stimuli with Target
12,Global Incongruent at 6,6,11,Global,Incongruent at 6,Incongruent Stimuli with Target
21,Global Congruent,6,11,Global,Congruent,Congruent Stimuli with Target
23,Local Incongruent at 6,6,11,Local,Incongruent at 6,Incongruent Stimuli with Target
23,Local Incongruent at 6,6,11,Local,Incongruent at 6,Incongruent Stimuli with Target
28,Global Incongruent at 2,2,11,Global,Incongruent at 2,Incongruent Stimuli with Target
28,Global Congruent,2,11,Global,Congruent,Congruent Stimuli with Target
30,Global Incongruent at 6,6,11,Global,Incongruent at 6,Incongruent Stimuli with Target
34,Local Congruent,2,11,Local,Congruent,Congruent Stimuli with Target
9,Local Incongruent at 6,6,12,Local,Incongruent at 6,Incongruent Stimuli with Target
19,Local Incongruent at 6,6,12,Local,Incongruent at 6,Incongruent Stimuli with Target
19,Global Incongruent at 2,2,12,Global,Incongruent at 2,Incongruent Stimuli with Target
19,Global Congruent,6,12,Global,Congruent,Congruent Stimuli with Target
21,Global Congruent,2,12,Global,Congruent,Congruent Stimuli with Target
22,Local Congruent,6,12,Local,Congruent,Congruent Stimuli with Target
23,Local Congruent,2,12,Local,Congruent,Congruent Stimuli with Target
28,Local Congruent,6,12,Local,Congruent,Congruent Stimuli with Target
34,Local Congruent,2,12,Local,Congruent,Congruent Stimuli with Target
9,Global Incongruent at 2,2,13,Global,Incongruent at 2,Incongruent Stimuli with Target
21,Local Congruent,2,13,Local,Congruent,Congruent Stimuli with Target
21,Global Incongruent at 6,6,13,Global,Incongruent at 6,Incongruent Stimuli with Target
21,Local Incongruent at 2,2,13,Local,Incongruent at 2,Incongruent Stimuli with Target
3,Local Congruent,6,14,Local,Congruent,Congruent Stimuli with Target
