Condition,RunPosition,Globality,RunType,StimuliType,Critdatpoint,RT_Mu_Mu,RT_Mu_Sigma,RT_Mu_n,RT_SE
Global Congruent,1,Global,Congruent,Congruent Stimuli with Target,Non-critical,378.554522417154,83.46949297994107,30,15.23937472287761
Global Congruent,2,Global,Congruent,Congruent Stimuli with Target,Critical,292.6666666666667,76.16073190880938,30,13.904983620852795
Global Congruent,3,Global,Congruent,Congruent Stimuli with Target,Non-critical,274.3680506822612,68.99197097155916,30,12.596152929288186
Global Congruent,4,Global,Congruent,Congruent Stimuli with Target,Non-critical,275.0040545808967,83.21716241484401,30,15.193305675393715
Global Congruent,5,Global,Congruent,Congruent Stimuli with Target,Non-critical,274.420955165692,63.52571239654376,30,11.598155220390861
Global Congruent,6,Global,Congruent,Congruent Stimuli with Target,Critical,275.7710526315789,57.52281755610624,30,10.502181582244527
Global Congruent,7,Global,Congruent,Congruent Stimuli with Target,Non-critical,277.46771929824564,58.503705654306756,30,10.681266428168781
Global Incongruent at 2,1,Global,Incongruent at 2,Congruent Stimuli with Target,Non-critical,382.33733918128655,73.12344281483855,30,13.35045303737538
Global Incongruent at 2,2,Global,Incongruent at 2,Incongruent Stimuli with Target,Critical,320.7452826510721,80.16842754088891,30,14.636685387954424
Global Incongruent at 2,3,Global,Incongruent at 2,Congruent Stimuli with Target,Non-critical,292.5639083820663,66.52209756837837,30,12.145217803586798
Global Incongruent at 2,4,Global,Incongruent at 2,Congruent Stimuli with Target,Non-critical,286.39157894736843,66.82239048043353,30,12.200043537517306
Global Incongruent at 2,5,Global,Incongruent at 2,Congruent Stimuli with Target,Non-critical,277.67831384015597,72.13082178831577,30,13.169226061615225
Global Incongruent at 2,6,Global,Incongruent at 2,Congruent Stimuli with Target,Non-critical,269.4924561403509,67.7812301019804,30,12.375102900767619
Global Incongruent at 2,7,Global,Incongruent at 2,Congruent Stimuli with Target,Non-critical,277.0389473684211,63.717147492741,30,11.633106327219327
