ID,Condition,RunPosition,Globality,StimuliType,RunType,Critdatpoint,RT_Mu,RT_Sigma,RT_n,RT_SE
1,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,394.6,126.31472806571603,20,28.244831851434153
1,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,335.8,99.43133044309631,20,22.233521396400764
1,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,475.55,274.50366213643815,20,61.38088486097108
1,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,309.85,137.94288482442366,20,30.84496674798354
1,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,436.10526315789474,116.76752532600935,19,26.78830751491584
1,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,407.8888888888889,114.04534128705585,18,26.880744728937113
1,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,523.35,220.2568536480701,20,49.250929726730725
1,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,454.4,143.32091337458857,20,32.04753049029388
2,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,209.15,103.17245399406711,20,23.070062053620372
2,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,224.5,75.34447208444831,20,16.84753613096617
2,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,219.21052631578948,94.6223951335978,19,21.70786622016461
2,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,254.4,89.34580955036742,20,19.978330365937147
2,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,230.5,61.212743771211564,20,13.687585616170589
2,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,232.35,78.41071019755024,20,17.53316781657583
2,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,205.73684210526315,65.02464669925222,19,14.917677042182948
2,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,228.95,80.50921817112818,20,18.00240846460039
3,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,252.2,160.58826069698932,20,35.90862673069259
3,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,243.05,157.2495418786733,20,35.16206650714135
3,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,320.7,396.6886754914462,20,88.70228443032285
3,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,236.15,220.51191040753093,20,49.30796215195825
3,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,330.1578947368421,193.96885865688589,19,44.499508056804736
3,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,216.35,182.2647799219586,20,40.75564378095382
3,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,364.05,218.58359234422255,20,48.87677712477842
3,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,269.35,192.97457563654666,20,43.150426905249304
4,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,188.35,124.94305018476892,20,27.938115352931096
4,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,213.5,126.71746442173503,20,28.33488643834106
4,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,224.1578947368421,151.32645474745237,19,34.71666966991714
4,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,165.5,99.07493177016656,20,22.153828230424597
4,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,228.05263157894737,129.19256672984562,19,29.638807506949053
4,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,215.15,123.26705070485659,20,27.563350476197268
4,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,180.52631578947367,143.31448264454124,19,32.87859721017731
4,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,240.65,231.23837666379097,20,51.70647292269376
5,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,279.89473684210526,91.98181869674156,19,21.10207643906192
5,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,271.1,94.37266553404116,20,21.10236953519675
5,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,351.85,131.2331292415384,20,29.344619788409524
5,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,305.8421052631579,93.79188732856893,19,21.517334662588684
5,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,321.9,76.49692116267438,20,17.105231578918215
5,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,354.1,71.23415798026882,20,15.92844195638402
5,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,346.05,131.02409380680615,20,29.297878044232775
5,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,327,124.72833637444558,20,27.890103885371996
6,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,288.45,98.46157412385487,20,22.016677291257377
6,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,266.85,55.35081894511351,20,12.3768193771557
6,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,319.7,128.31339102287598,20,28.691746475066193
6,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,232.4,85.043270719892,20,19.0162534358596
