ID,Condition,RunPosition,Globality,StimuliType,RunType,Critdatpoint,RT_Mu,RT_Sigma,RT_n,RT_SE
1,Global Congruent,1,Global,Congruent Stimuli with Target,Congruent,Non-critical,483.95,182.1432273326623,20,40.72846379570306
1,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,394.6,126.31472806571603,20,28.244831851434153
1,Global Congruent,3,Global,Congruent Stimuli with Target,Congruent,Non-critical,324.1,105.6094593052007,20,23.614993007342648
1,Global Congruent,4,Global,Congruent Stimuli with Target,Congruent,Non-critical,328.8,109.19832271702036,20,24.417487262421705
1,Global Congruent,5,Global,Congruent Stimuli with Target,Congruent,Non-critical,344.05,114.28149686767227,20,25.55411955665445
1,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,335.8,99.43133044309631,20,22.233521396400764
1,Global Congruent,7,Global,Congruent Stimuli with Target,Congruent,Non-critical,306.15,127.46321450768288,20,28.50164122698163
1,Global Incongruent at 2,1,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,468.6,290.74919559104904,20,65.01349657449678
1,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,475.55,274.50366213643815,20,61.38088486097108
1,Global Incongruent at 2,3,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,326.25,159.8202526524556,20,35.736894911208175
1,Global Incongruent at 2,4,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,413.4,375.553402187674,20,83.97629364729573
1,Global Incongruent at 2,5,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,364,127.91732527403455,20,28.603183481269316
1,Global Incongruent at 2,6,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,292.05,160.56363716280026,20,35.90312074106328
1,Global Incongruent at 2,7,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,310.8,90.66514446606607,20,20.27334262159626
1,Global Incongruent at 6,1,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,465.5,197.25230970564203,20,44.10695732206571
1,Global Incongruent at 6,2,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,427.85,214.74030215220674,20,48.017391312117866
1,Global Incongruent at 6,3,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,345.1111111111111,62.43197605383741,18,14.715357876848197
1,Global Incongruent at 6,4,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,377.2,95.1390118665701,20,21.27372978458099
1,Global Incongruent at 6,5,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,319.95,102.4199173680794,20,22.901789748493687
1,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,309.85,137.94288482442366,20,30.84496674798354
1,Global Incongruent at 6,7,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,376.35,97.95287535071996,20,21.902928787577338
1,Local Congruent,1,Local,Congruent Stimuli with Target,Congruent,Non-critical,568.7222222222222,183.56624242893113,18,43.26697827281032
1,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,436.10526315789474,116.76752532600935,19,26.78830751491584
1,Local Congruent,3,Local,Congruent Stimuli with Target,Congruent,Non-critical,373.1578947368421,48.181673738160306,19,11.05363403975202
1,Local Congruent,4,Local,Congruent Stimuli with Target,Congruent,Non-critical,380.7894736842105,43.28789790765033,19,9.930924866197556
1,Local Congruent,5,Local,Congruent Stimuli with Target,Congruent,Non-critical,418,117.48049483495831,19,26.9518739380387
1,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,407.8888888888889,114.04534128705585,18,26.880744728937113
1,Local Congruent,7,Local,Congruent Stimuli with Target,Congruent,Non-critical,444.7368421052632,179.43393773669436,19,41.16496850714842
1,Local Incongruent at 2,1,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,580.7222222222222,169.45094919476415,18,39.93997175137163
1,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,523.35,220.2568536480701,20,49.250929726730725
1,Local Incongruent at 2,3,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,422.85,118.16682008254708,20,26.422904238956257
1,Local Incongruent at 2,4,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,389.55,97.11711595041481,20,21.71604730438566
1,Local Incongruent at 2,5,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,382.25,91.26472483933757,20,20.40741286885724
1,Local Incongruent at 2,6,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,340.95,72.06172427345295,20,16.113491405128745
1,Local Incongruent at 2,7,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,342.05,114.31557199262049,20,25.56173898622705
1,Local Incongruent at 6,1,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,674.3,261.0049606304145,20,58.362483443426306
1,Local Incongruent at 6,2,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,528.85,287.4205199062132,20,64.26918206386242
1,Local Incongruent at 6,3,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,375.35,61.041206961923855,20,13.649228819549515
1,Local Incongruent at 6,4,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,382.89473684210526,115.50752488082136,19,26.499243588105802
1,Local Incongruent at 6,5,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,439.6,172.59151653238163,20,38.59263633061841
1,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,454.4,143.32091337458857,20,32.04753049029388
1,Local Incongruent at 6,7,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,410,105.92152010357778,20,23.684771923171045
2,Global Congruent,1,Global,Congruent Stimuli with Target,Congruent,Non-critical,308.85,68.50837444007158,20,15.318938227600913
2,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,209.15,103.17245399406711,20,23.070062053620372
2,Global Congruent,3,Global,Congruent Stimuli with Target,Congruent,Non-critical,241.4,88.99698398201332,20,19.90033059762417
2,Global Congruent,4,Global,Congruent Stimuli with Target,Congruent,Non-critical,256.2,68.8060584847768,20,15.385502403578709
2,Global Congruent,5,Global,Congruent Stimuli with Target,Congruent,Non-critical,241.35,85.18912396606308,20,19.048867213177353
2,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,224.5,75.34447208444831,20,16.84753613096617
2,Global Congruent,7,Global,Congruent Stimuli with Target,Congruent,Non-critical,234.75,68.50422576285656,20,15.318010555173966
2,Global Incongruent at 2,1,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,320.65,92.98345919684063,20,20.791733554721365
2,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,219.21052631578948,94.6223951335978,19,21.70786622016461
2,Global Incongruent at 2,3,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,253.4,94.5940912809207,20,21.15188183739588
2,Global Incongruent at 2,4,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,219.65,91.90227933717651,20,20.549974388510098
2,Global Incongruent at 2,5,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,221.7,96.53911124513215,20,21.58680152315298
2,Global Incongruent at 2,6,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,211.75,80.21213650131297,20,17.935978983742793
2,Global Incongruent at 2,7,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,222.05,79.34035609488501,20,17.741042958720264
2,Global Incongruent at 6,1,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,288.75,54.544887357497636,20,12.196607595643359
2,Global Incongruent at 6,2,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,226.55,62.70186348275884,20,14.020562906336046
2,Global Incongruent at 6,3,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,265.05,62.569939814746924,20,13.991063877384471
2,Global Incongruent at 6,4,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,225.8,92.92645649000868,20,20.77898736198359
2,Global Incongruent at 6,5,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,269.3,90.36365128570343,20,20.205926696991913
2,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,254.4,89.34580955036742,20,19.978330365937147
2,Global Incongruent at 6,7,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,276.55,71.2774231621176,20,15.938116345151295
2,Local Congruent,1,Local,Congruent Stimuli with Target,Congruent,Non-critical,358.25,209.30080971503293,20,46.8010838268562
2,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,230.5,61.212743771211564,20,13.687585616170589
2,Local Congruent,3,Local,Congruent Stimuli with Target,Congruent,Non-critical,228.8,75.86872318613736,20,16.964762241031757
2,Local Congruent,4,Local,Congruent Stimuli with Target,Congruent,Non-critical,236.5,99.88019138737644,20,22.333889754786274
2,Local Congruent,5,Local,Congruent Stimuli with Target,Congruent,Non-critical,220.8,56.359373198860375,20,12.602338964193157
2,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,232.35,78.41071019755024,20,17.53316781657583
2,Local Congruent,7,Local,Congruent Stimuli with Target,Congruent,Non-critical,240.45,62.85695958619899,20,14.055243449369799
2,Local Incongruent at 2,1,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,327.05,120.2538871239556,20,26.889586616775137
2,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,205.73684210526315,65.02464669925222,19,14.917677042182948
2,Local Incongruent at 2,3,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,255.3,69.51796435757488,20,15.544689396094492
2,Local Incongruent at 2,4,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,221.85,75.52989996997006,20,16.88899906666124
2,Local Incongruent at 2,5,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,242.95,45.08877208819345,20,10.08215594111957
2,Local Incongruent at 2,6,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,246.85,70.98129850067626,20,15.871900857871601
2,Local Incongruent at 2,7,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,223.1,67.91007986571964,20,15.18515549371889
2,Local Incongruent at 6,1,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,285.85,54.079157382099574,20,12.09246720722842
2,Local Incongruent at 6,2,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,222.95,63.79694350045306,20,14.265430242372643
2,Local Incongruent at 6,3,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,227.6,62.553892554214485,20,13.987475600844153
2,Local Incongruent at 6,4,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,195.65,86.6221528733906,20,19.36930221822801
2,Local Incongruent at 6,5,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,246.45,66.30985875736015,20,14.8273351759867
2,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,228.95,80.50921817112818,20,18.00240846460039
2,Local Incongruent at 6,7,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,246.2,57.65834033794518,20,12.89279684654636
3,Global Congruent,1,Global,Congruent Stimuli with Target,Congruent,Non-critical,371.65,122.87874853734986,20,27.476523471961713
3,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,252.2,160.58826069698932,20,35.90862673069259
3,Global Congruent,3,Global,Congruent Stimuli with Target,Congruent,Non-critical,214.75,168.93252312216572,20,37.774460531171755
3,Global Congruent,4,Global,Congruent Stimuli with Target,Congruent,Non-critical,217.7,145.19355502587788,20,32.46626589327192
3,Global Congruent,5,Global,Congruent Stimuli with Target,Congruent,Non-critical,204.5,151.84982193289733,20,33.95465242131969
3,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,243.05,157.2495418786733,20,35.16206650714135
3,Global Congruent,7,Global,Congruent Stimuli with Target,Congruent,Non-critical,310.8421052631579,296.0377722066889,19,67.91572276420372
3,Global Incongruent at 2,1,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,390.7,132.97490859477765,20,29.734093491974384
3,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,320.7,396.6886754914462,20,88.70228443032285
3,Global Incongruent at 2,3,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,220.35,178.3017179714737,20,39.869476188921105
3,Global Incongruent at 2,4,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,211.95,252.37325636112038,20,56.432375692644634
3,Global Incongruent at 2,5,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,196.7,185.54729855214816,20,41.48963726040516
3,Global Incongruent at 2,6,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,234.7,180.61855706957337,20,40.38753716054912
3,Global Incongruent at 2,7,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,269,185.56258697326498,20,41.49305585529375
