Globality,RunType,RunPosition,Condition,StimuliType,Critdatpoint,N,RT_Mu,sd,se,ci
Global,Congruent,1,Global Congruent,Congruent Stimuli with Target,Non-critical,30,378.554522417154,48.207142733752505,8.801379836049168,18.000842932356832
Global,Congruent,2,Global Congruent,Congruent Stimuli with Target,Critical,30,292.66666666666663,33.6762993632738,6.148422938187307,12.574936845549331
Global,Congruent,3,Global Congruent,Congruent Stimuli with Target,Non-critical,30,274.3680506822612,30.947213885739576,5.650162379052222,11.55587958050064
Global,Congruent,4,Global Congruent,Congruent Stimuli with Target,Non-critical,30,275.00405458089665,45.65191175408977,8.334860620316734,17.046704003716357
Global,Congruent,5,Global Congruent,Congruent Stimuli with Target,Non-critical,30,274.42095516569196,21.98075676061137,4.0131187696070105,8.207749464999381
Global,Congruent,6,Global Congruent,Congruent Stimuli with Target,Critical,30,275.7710526315789,32.92568730623139,6.0113805529948134,12.294653697125074
Global,Congruent,7,Global Congruent,Congruent Stimuli with Target,Non-critical,30,277.4677192982456,35.62640456041415,6.504461806847917,13.303118093485402
Global,Incongruent at 2,1,Global Incongruent at 2,Congruent Stimuli with Target,Non-critical,30,382.33733918128655,56.15386827403605,10.252246781621078,20.968199016231036
Global,Incongruent at 2,2,Global Incongruent at 2,Incongruent Stimuli with Target,Critical,30,320.7452826510721,32.41325455256613,5.917823560199163,12.103308162230615
Global,Incongruent at 2,3,Global Incongruent at 2,Congruent Stimuli with Target,Non-critical,30,292.56390838206624,29.61716817904086,5.407330367028295,11.059232351450579
Global,Incongruent at 2,4,Global Incongruent at 2,Congruent Stimuli with Target,Non-critical,30,286.3915789473684,28.702397834234187,5.240316916099164,10.717651490975445
Global,Incongruent at 2,5,Global Incongruent at 2,Congruent Stimuli with Target,Non-critical,30,277.6783138401559,35.1584569632609,6.419026655284192,13.128383589027173
Global,Incongruent at 2,6,Global Incongruent at 2,Congruent Stimuli with Target,Non-critical,30,269.49245614035084,27.012572506411743,4.931798432668525,10.086660343517275
Global,Incongruent at 2,7,Global Incongruent at 2,Congruent Stimuli with Target,Non-critical,30,277.038947368421,30.913204602217462,5.643953161802339,11.543180305326738
