F/L/Sex,ID,TrialType,Trial#,RunPosition#,Run#,ConditionType,Condition,RT,Error,TotalError,RepeatedError,Target,Globality,RunType,StimuliType
FTM,2,Experiment,625,2,90,Critical,Global Incongruent,50,0,57,0,E,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,708,1,102,Critical,Global Congruent at 6,50,0,61,0,G,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,1154,6,165,Critical,Global Congruent at 2,50,0,85,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
LDF,8,Experiment,1249,3,179,Critical,Global Congruent at 2,50,0,62,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,573,6,82,Critical,Global Congruent at 6,51,0,54,0,K,Global,Congruent at 6,Congruent Stimuli with Target
FTM,2,Experiment,721,7,103,Critical,Local Congruent at 2,51,0,61,0,K,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,521,3,75,Critical,Global Congruent at 2,51,0,113,0,G,Global,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,1119,6,160,Critical,Local Incongruent,51,0,206,0,G,Local,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,1034,5,148,Critical,Global Incongruent,51,0,83,0,U,Global,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,1194,4,171,Critical,Local Congruent at 6,51,0,89,0,A,Local,Congruent at 6,Incongruent Stimuli with Target
DFF,19,Experiment,994,7,142,Critical,Global Congruent at 6,51,0,52,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
RFM,23,Experiment,521,3,75,Critical,Local Congruent at 2,51,0,40,0,U,Local,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,648,4,93,Critical,Local Congruent at 6,52,0,57,0,K,Local,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,210,7,30,Critical,Local Incongruent,52,0,63,0,U,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,320,5,46,Critical,Global Congruent at 2,52,0,78,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,1223,5,175,Critical,Local Congruent at 6,52,0,208,0,U,Local,Congruent at 6,Incongruent Stimuli with Target
DCF,15,Experiment,539,7,77,Critical,Global Incongruent,52,0,46,0,U,Global,Incongruent,Incongruent Stimuli with Target
DMF,17,Experiment,1250,4,179,Critical,Global Congruent at 2,52,0,86,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
SMFWP,21,Experiment,856,2,123,Critical,Global Congruent at 2,52,0,118,0,G,Global,Congruent at 2,Congruent Stimuli with Target
SMFWP,21,Experiment,864,3,124,Critical,Global Congruent at 2,52,0,119,0,E,Global,Congruent at 2,Incongruent Stimuli with Target
RFM,23,Experiment,634,4,91,Critical,Global Congruent at 6,52,0,42,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,548,2,79,Critical,Global Incongruent,53,0,53,0,K,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,506,2,73,Critical,Global Congruent at 2,53,0,113,0,A,Global,Congruent at 2,Congruent Stimuli with Target
ADF,3,Experiment,648,4,93,Critical,Local Incongruent,53,0,114,0,A,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,969,3,139,Critical,Local Congruent at 2,53,0,182,0,K,Local,Congruent at 2,Incongruent Stimuli with Target
LDF,8,Experiment,1216,5,174,Critical,Local Congruent at 6,53,0,56,0,A,Local,Congruent at 6,Incongruent Stimuli with Target
