ID,Condition,RunPosition#,RT_Mu,RT_Sigma,RT_n
1,Global Congruent at 2,1,351.1111111111111,85.77528019663042,18
1,Global Congruent at 2,2,337.36842105263156,116.61246861402648,19
1,Global Congruent at 2,3,321.94117647058823,132.7824680578329,17
1,Global Congruent at 2,4,307.77777777777777,88.41782862240315,18
1,Global Congruent at 2,5,330.42105263157896,162.22354801989673,19
1,Global Congruent at 2,6,297.4117647058824,91.27709106309851,17
1,Global Congruent at 2,7,310.94736842105266,80.42144109088386,19
1,Global Congruent at 6,1,409.7368421052632,274.8613472897165,19
1,Global Congruent at 6,2,324.52941176470586,71.78537250639822,17
1,Global Congruent at 6,3,305.05263157894734,116.6826054275303,19
1,Global Congruent at 6,4,281.7894736842105,85.81801089603537,19
1,Global Congruent at 6,5,308.42105263157896,71.53966715472045,19
1,Global Congruent at 6,6,244.57894736842104,83.22480652457314,19
1,Global Congruent at 6,7,296.47058823529414,79.20078728069787,17
1,Global Incongruent,1,342.7,73.96236596369378,20
1,Global Incongruent,2,284.7,78.47098022098427,20
1,Global Incongruent,3,288.94736842105266,96.06564519709688,19
1,Global Incongruent,4,288.1578947368421,84.49672127622911,19
1,Global Incongruent,5,262.8,74.32333344742311,20
1,Global Incongruent,6,287.72222222222223,83.16093932890224,18
1,Global Incongruent,7,264.94444444444446,63.343575023296765,18
1,Local Congruent at 2,1,422.65,126.25924666503064,20
1,Local Congruent at 2,2,338.55,126.80630691603714,20
1,Local Congruent at 2,3,351,99.07891591528123,20
1,Local Congruent at 2,4,351.1111111111111,88.47790610814118,18
1,Local Congruent at 2,5,338.8,160.5862942306623,20
1,Local Congruent at 2,6,301.6111111111111,121.4133139752701,18
1,Local Congruent at 2,7,303.85,89.12987271687487,20
1,Local Congruent at 6,1,408.75,139.38695665022078,20
1,Local Congruent at 6,2,347.7,105.38356008809963,20
1,Local Congruent at 6,3,319.7,107.44746574366863,20
1,Local Congruent at 6,4,300.3,83.08530809386598,20
1,Local Congruent at 6,5,310.9,105.06133546898361,20
1,Local Congruent at 6,6,266.75,63.47969007983245,20
1,Local Congruent at 6,7,305.5,94.13847582991211,20
